"Artists","Total_Songs","Songs_Played"
"No Frills",6,3
"No Vacation",1,0
"No Windows",2,1
"NOBRO",5,4
"Nolan Potter",6,0
"Non Plus Temps",3,0
"NoSo",3,1
"The Nude Party",12,1
"NYSSA",2,1
"O & The Mo",2,1
"OBN IIIs",1,0
"Odonis Odonis",3,0
"Office Dog",3,0
"Ohbijou",2,0
"Ohtis",3,1
"The Okmoniks",5,1
"Old Cabin",6,1
"Oldseed",1,1
"OMBIIGIZI",13,7
"Omni",2,1
"One Hundred Dollars",7,2
"Oneida",1,1
"Oog Bogo",1,0
"Open Head",4,0
"Ora Cogan",1,1
"Oracle Sisters",11,0
"ORB",5,1
"Orchestre Tout Puissant Marcel Duchamp",1,0
"Orchestre Tout Puissant Marcel Duchamp & Frànçois & The Atlas Mountains",1,0
"Orchestre Tout Puissant Marcel Duchamp & Jo Burke",1,0
"Orions Belte",8,0
"Orions Belte & Chris Holm",4,0
"Orions Belte & Øyvind Blomstrøm",2,0
"Orions Belte & Shikoswe",1,0
"Orua",7,1
"Orville Peck",4,2
"Orville Peck & Willie Nelson",1,1
"P.E.",1,0
"Pacific Range",6,2
"PACKS",7,4
"The Painters",6,2
"Pale Honey",3,0
"Panda Bear",4,0
"Papercuts",8,1
"The Paperhead",1,0
"Parquet Courts",14,1
"Parsnip",9,3
"Party Dozen",4,1
"Patrick Watson",2,2
"Patrick Watson & La Force",1,1
"Paul Jacobs",2,1
"Peace De Résistance",3,0
"Pearl Charles",9,2
"Pearla",3,1
"The Pearly Gates",6,0
"Pearly Moon",4,2
"Peel Dream Magazine",4,1
"Penny & the Pits",5,1
"Penza Penza",7,0
"The People's Temple",4,0
"Perennial",3,3
"Personal Trainer",6,1
"The Pesos",2,0
"Peter Bjorn and John",1,0
"Phosphorescent",4,0
"Physical Congas",2,2
"Pink Breath of Heaven",3,1
"Pins & Needles",2,1
"Pip Blom",5,2
"Pipe-eye",4,1
"A Place to Bury Strangers",13,4
"Plain Jade",5,5
"Plants And Animals",11,1
"Pond",12,2
"PONY",1,0
"Pony Girl",2,2
"Pony Gold",2,1
"Poor Moon",3,0
"Pop Pop Vernac",4,1
"Population II",16,11
"Porridge Radio",9,2
"Portugal. The Man",5,0
"Possum",8,6
"pôt-pot",3,0
"Pow Wow's",1,1
"Powerplant",6,1
"Preoccupations",1,1
"Pressure Pin",4,3
"Prettiest Eyes",5,0
"Pretty",9,2
"Prewn",1,0
"Priors",1,1
"Prism Shores",4,1
"Prison Affair",4,4
"Private Lives",7,7
"Project Gemini",14,2
"Project Gemini & Wendy Martinez",3,0
"Psychedelic Porn Crumpets",15,3
"Psychic Graveyard",2,0
"Psychic Temple",4,1
"Psychic Temple & The Dream Syndicate",1,0
"Psychic Void",9,5
"Public Body",4,1
"Public Display of Affection",7,3
"Punchlove",2,1
"Purple Rhinestone Eagle",1,0
"The Pxrtals",3,1
"pyncher",3,0
"Pyrenees Love Triangle",1,0
"Qlowski",4,3
"Quilt",7,2
"R.M.F.C.",3,0
"The Radiant",2,1
"The Radiation Flowers",9,5
"Radio Free Alice",2,0
"Raeburn",6,5
"Rah Rah",1,0
"The Rantouls",1,0
"Ratboys",3,1
"Ray LaMontagne",3,0
"Razor Braids",6,0
"Real Farmer",8,4
"Rearranged Face",7,3
"The Reds, Pinks and Purples",12,0
"Renata Zeiguer",6,0
"Retail Drugs",1,0
"Reverend Baron",4,0
"Reverend Baron & Calvin Love",1,0
"Reverend Baron, Andrew Gabbard & Mae Powell",1,0
"Ribbon Skirt",5,1
"Richard In Your Mind",2,0
"Richard Swift",6,0
"Tennis",24,2
"Rick White",11,5
"Rick White & The Sadies",4,2
"Ringlets",1,0
"Ritchot Textiles",4,3
"The Roaring 420s",5,0
"Robber Robber",3,0
"Robert Ellis",6,1
"Rock Plaza Central",2,0
"Ron Gallo",3,0
"Ronald Langestraat",1,0
"Rory McClure & Shimmering Stars",1,1
"Rosali",10,2
"Rose City Band",14,3
"ROY",8,7
"The Royal Family",2,2
"Rubber Oh",3,0
"Rui Gabriel",3,0
"runner",3,1
"runo plum",3,0
"Runway",2,2
"Ryli",2,0
"Sacred Buzz",3,1
"The Sadies",6,2
"Saintseneca",3,0
"Sam Blasucci",4,1
"Sam Cohen",4,0
"Sam Cohen, Cochemea & oliver hill",1,0
"Sam Cohen, Stuart Bogie & Photay",2,0
"Sam Evian",4,0
"Sam Jr.",8,8
"Sam Salmon",4,0
"Sassyhiya",3,0
"Sauna Youth",2,1
"Savak",2,0
"Scott McMicken and THE EVER-EXPANDING",11,0
"Scott Yoder",3,0
"Scout's Honour",2,0
"Scully",1,0
"Sean Thompson's Weird Ears",3,0
"Secret Door",6,1
"SEND MEDICINE",5,2
"Sera Cahoone",8,1
"Sexcapades",1,0
"The Sexual Objects",1,0
"Shackleton's Lifeboat",1,0
"Shadow Show",5,3
"SHAKING HANDS",6,5
"Shannon & The Clams",32,7
"Shannon Lay",7,3
"Shannon Shaw",3,0
"Sharon Van Etten",9,2
"Sharp Pins",11,1
"She & Him",9,0
"Sheer Mag",4,1
"The Shilohs",2,1
"Shimmering Stars",3,2
"The Shins",6,0
"Shirley & The Pyramids",15,4
"Shirley Hurt",4,1
"The Shivas",13,4
"Shopping",1,0
"Shugo Tokumaru",1,0
"Shunk",3,3
"Silver Synthetic",9,1
"Silverbacks",4,0
"Sister Ray Davies",4,0
"Sister Suvi",1,0
"Six Moons Later",2,1
"Skinny Dyck",6,2
"Skinshape",5,0
"Skydaddy",2,0
"Slow Fiction",5,2
"Slow Leaves",3,1
"Slow Pulp",7,1
"Slowdive",1,0
"Small Paul",4,0
"Small Pleasures",5,2
"The Smashing Times",3,1
"The Smoking Trees",4,0
"Snake River",7,7
"Snõõper",3,1
"Snowblink",1,0
"So Totally",1,0
"Soft Bait",3,1
"Soft Plastics",2,0
"Soft Rōnin",1,0
"Somesurprises",1,1
"The Soundcarriers",8,3
"The South Hill Experiment, Baird & Goldwash",4,0
"The Space Lady",1,0
"Spaceface",2,0
"Spencer Cullum",4,0
"Spencer Hoffman",8,0
"Spirit Hotel",3,0
"The Spyrals",6,2
"Stalefish",1,0
"Standard Issue Pleasure Model",3,1
"Star Moles",3,0
"Starcleaner Reunion",3,0
"Starpainter",2,0
"Status/Non-Status",8,4
"Steady Sun",5,0
"Steel Saddle",6,5
"The Steves",3,3
"Stewart Forgey",3,1
"Still Blank",6,0
"Still Corners",13,3
"Straight Arrows",4,4
"The Strange Boys",4,0
"Strange Lot",3,1
"STRANGE LOT",4,2
"The Stroppies",1,0
"Stucco",7,2
"Styrofoam Winos",2,0
"Sugar Candy Mountain",1,0
"Summer Salt",8,0
"Sun June",3,0
"Sunfruits",6,2
"Sunglaciers",11,7
"Surfbort",4,2
"Sweeping Promises",4,1
"sweet93",4,1
"System Exclusive",2,0
"Tacocat",6,4
"The Tallest Man On Earth",14,0
"Tallies",1,1
"Tame Impala",10,1
"Taxi Girls",2,0
"Tebby And The Heavy",8,7
"TEKE::TEKE",3,2
"Temples",8,1
"Terry Gross",1,1
"Tess Parks",15,7
"Thao & Mirah",3,0
"Thee Oh Sees",79,10
"Thee Sacred Souls",5,0
"The Thing",2,0
"This Is Lorelei",2,0
"This Is the Kit",2,0
"Three Bones",6,3
"Tibetan Miracle Seeds",3,0
"Tijuana Panthers",15,2
"Tim Carr",1,0
"Tim Hill",5,0
"Timber Timbre",4,1
"Tinge",2,1
"Tired Cossack",3,1
"Tomato Flower",3,2
"TOPS",7,2
"Torrey",4,2
"Tōth",4,0
"Tough Age",9,6
"Traffik Island",2,0
"Traffik Island & Ambrose Kenny Smith",1,0
"Trans-Canada Highwaymen",8,0
"Trees Speak",9,2
"Triptides",11,1
"Tristen",4,0
"Troll Dolly",1,0
"Tropical Fuck Storm",1,0
"True Green",1,1
"The Tubs",1,0
"Tune-Yards",13,1
"TV Star",1,0
"TVOD",5,1
"Twain",3,0
"twen",2,0
"Twerps",1,0
"Twin Peaks",5,0
"Twin Voices",2,1
"Twist",4,1
"Ty Segall",27,6
"U.S. Girls",4,2
"The UFO Club",6,0
"ugly ozo",2,0
"Uh Huh",2,1
"Uh Huh & Lammping",1,0
"Ulrika Spacek",5,0
"The Umbrellas",3,2
"Uncola",1,1
"Unessential Oils",2,0
"UNIVERSITY",1,0
"Useless Eaters",2,1
"UV-TV",1,0
"V.V. Lightbody",3,0
"Vague Plot",1,1
"Vampire Weekend",7,0
"Vanishing Twin",5,1
"Vanity Mirror",2,1
"Veps",8,1
"verity den",3,0
"Vetiver",21,2
"VICTIME",2,0
"Victrix",2,1
"Vinyl Williams",15,2
"Virgo Rising",1,1
"Vypers",9,6
"Wagging",3,0
"Wake Owl",4,0
"Walrus",1,0
"Wand",13,2
"Water From Your Eyes",2,2
